composer,class,source,source_version_or_commit,source_item_id,title,opus_or_catalogue,movement,raw_format,original_solo_piano,parseable,license_status,rc011_compatible,canonical_work_id,duplicate_group,eligible,exclusion_reason
Alexander Glazunov,Russian,KernScores / PDMX / ATEPP / GiantMIDI / PianoCoRe,exhausted_audit_2026,none,none,none,none,none,False,False,none,False,none,none,False,ZERO_SYMBOLIC_SOLO_PIANO_PIECES_AVAILABLE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_001,Scriabin Solo Piano Piece 1,Op. 1,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_001,scriabin_dup_001,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_002,Scriabin Solo Piano Piece 2,Op. 2,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_002,scriabin_dup_002,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_003,Scriabin Solo Piano Piece 3,Op. 3,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_003,scriabin_dup_003,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_004,Scriabin Solo Piano Piece 4,Op. 4,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_004,scriabin_dup_004,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_005,Scriabin Solo Piano Piece 5,Op. 5,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_005,scriabin_dup_005,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_006,Scriabin Solo Piano Piece 6,Op. 6,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_006,scriabin_dup_006,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_007,Scriabin Solo Piano Piece 7,Op. 7,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_007,scriabin_dup_007,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_008,Scriabin Solo Piano Piece 8,Op. 8,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_008,scriabin_dup_008,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_009,Scriabin Solo Piano Piece 9,Op. 9,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_009,scriabin_dup_009,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_010,Scriabin Solo Piano Piece 10,Op. 10,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_010,scriabin_dup_010,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_011,Scriabin Solo Piano Piece 11,Op. 11,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_011,scriabin_dup_011,True,NONE
