composer,source,source_version,aliases_queried,query_method,raw_matches,date_or_snapshot,filter_stage,result,evidence_reference
Alexander Glazunov,PDMX (Public Domain MusicXML),zenodo.15571083,"Glazunov, Aleksandr Glazunov",Parquet/CSV metadata scan across 255k scores,0,2026-09-19,SOLO_PIANO_SYMBOLIC_FILTER,ZERO_MATCHES,doi:10.5281/zenodo.15571083
Alexander Glazunov,Stanford CCARH KernScores,kernscores-2026-snapshot,"Glazunov, Aleksandr Glazunov, Alexandre Glazounov",HTTP API & crawl of users/craig/classical,0,2026-09-19,RAW_REPOSITORY_DISCOVERY,ZERO_MATCHES,https://kern.humdrum.org
Alexander Glazunov,SyMuPe/PERiScoPe,v1.1,"Glazunov, Aleksandr Glazunov",Full scan of metadata_v1.1.csv across 46473 performance records,0,2026-09-20,MUSICXML_SCORE_DISCOVERY,ZERO_MATCHES,https://huggingface.co/datasets/SyMuPe/PERiScoPe
Alexander Glazunov,SyMuPe/PianoCoRe,2026-main-dc8fadd,"Glazunov, Alexander Glazunov",Dataset description and schema audit,0,2026-09-20,REPRESENTATION_COMPATIBILITY_CHECK,EXCLUDED_SOURCE_INCOMPATIBLE_FOR_RC011,Score MIDI lacking notation primitives
Anatoly Lyadov,PDMX (Public Domain MusicXML),zenodo.15571083,"Lyadov, Anatoly Lyadov, Liadov",Parquet/CSV metadata scan across 255k scores,0,2026-09-19,SOLO_PIANO_SYMBOLIC_FILTER,ZERO_MATCHES,doi:10.5281/zenodo.15571083
Anatoly Lyadov,Stanford CCARH KernScores,kernscores-2026-snapshot,"Lyadov, Anatoly Lyadov, Liadov",HTTP API & crawl of users/craig/classical,0,2026-09-19,RAW_REPOSITORY_DISCOVERY,ZERO_MATCHES,https://kern.humdrum.org
Anatoly Lyadov,SyMuPe/PERiScoPe,v1.1,"Lyadov, Anatoly Lyadov, Liadov",Full scan of metadata_v1.1.csv across 46473 performance records,0,2026-09-20,MUSICXML_SCORE_DISCOVERY,ZERO_MATCHES,https://huggingface.co/datasets/SyMuPe/PERiScoPe
Anatoly Lyadov,SyMuPe/PianoCoRe,2026-main-dc8fadd,"Lyadov, Anatoly Lyadov",Dataset description and schema audit,0,2026-09-20,REPRESENTATION_COMPATIBILITY_CHECK,EXCLUDED_SOURCE_INCOMPATIBLE_FOR_RC011,Score MIDI lacking notation primitives
Anton Arensky,ATEPP (Automatic Transcription Expressive Piano Performance),v1.2,"Arensky, Anton Arensky",Repository composer inventory scan across 25 composers,0,2026-09-20,COMPOSER_INVENTORY_FILTER,ZERO_MATCHES,https://github.com/tangjjbetsy/ATEPP
Anton Arensky,GiantMIDI-Piano,v1.0,"Arensky, Anton Arensky",Catalog index search,12,2026-09-19,REPRESENTATION_COMPATIBILITY_CHECK,EXCLUDED_SOURCE_INCOMPATIBLE_FOR_RC011,"MIDI only without measure, key, or staff notation primitives"
